Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
113141,INF959L01098,INF959L01106,Navi Conservative Hybrid Fund - Monthly IDCW,12.013,Navi Mutual Fund
119156,INF959L01676,-,Navi Conservative Hybrid Fund-Direct Plan-Growth Option,31.4535,Navi Mutual Fund
113142,INF959L01130,-,Navi Conservative Hybrid Fund-Growth,26.1285,Navi Mutual Fund
148291,INF204KB15O7,INF204KB16O5,NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - MONTHLY IDCW Option,0.0,Unknown AMC
148292,INF204KB17O3,INF204KB18O1,NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - QUARTERLY IDCW Option,0.0,Unknown AMC
148294,INF204KB10P5,INF204KB11P3,NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - MONTHLY IDCW Option,0.0,Unknown AMC
148295,INF204KB12P1,INF204KB13P9,NIPPON INDIA HYBRID BOND FUND -  SEGREGATED PORTFOLIO 2 - QUARTERLY IDCW Option,0.0,Unknown AMC
118727,INF204K01YW2,INF204K01YX0,NIPPON INDIA HYBRID BOND FUND - DIRECT Plan - MONTHLY IDCW Option,11.6314,Unknown AMC
118729,INF204K01YY8,INF204K01YZ5,NIPPON INDIA HYBRID BOND FUND - DIRECT Plan - QUARTERLY IDCW Option,12.7763,Unknown AMC
118726,INF204K01YV4,-,Nippon India Hybrid Bond Fund - Direct Plan Growth Plan - Growth Option,60.6637,Nippon India Mutual Fund
102173,INF204K01FE9,INF204K01FF6,NIPPON INDIA HYBRID BOND FUND - MONTHLY IDCW Option,11.0488,Unknown AMC
102174,INF204K01FG4,INF204K01FH2,NIPPON INDIA HYBRID BOND FUND - QUARTERLY IDCW Option,12.1397,Unknown AMC
148143,INF204KB12K2,-,Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Direct Plan Growth Plan - Growth Option,4.0808,Nippon India Mutual Fund
148139,INF204KB14K8,INF204KB13K0,Nippon India Hybrid Bond Fund - Segregated Portfolio 1 - Direct Plan Monthly Dividend Plan,1.0786,Nippon India Mutual Fund
